Date,Transaction_ID,Description,Type,Category,Amount,Balance
2025-03-06,TXN10906,ATM Withdrawal,DR,Cash,2750,-691312
2025-03-06,TXN10522,ATM Withdrawal,DR,Cash,1249,-527028
2025-03-07,TXN10780,Online Course Payment,DR,Education,61,-681667
2025-03-07,TXN10285,Metro Card Recharge,DR,Transport,1171,-182855
2025-03-08,TXN10722,Electricity Bill UPI,DR,Utilities,4232,-700211
2025-03-08,TXN10618,Bus Ticket Booking,DR,Travel,4252,-573345
2025-03-09,TXN10273,Swiggy Order,DR,Food,2225,-152581
2025-03-09,TXN10312,Restaurant Dinner,DR,Food,1861,-249889
2025-03-09,TXN10966,Uber Ride,DR,Transport,315,-752324
2025-03-10,TXN10714,Refund Received,CR,Income,53370,-671699
2025-03-10,TXN10382,Online Course Payment,DR,Education,225,-226456
2025-03-11,TXN10024,Local Grocery Store,DR,Groceries,2185,-1610
2025-03-12,TXN10171,Dominos Pizza,DR,Food,1259,46957
2025-03-12,TXN10341,Bus Ticket Booking,DR,Travel,2846,-197123
2025-03-12,TXN10853,Myntra Clothing,DR,Shopping,2079,-678254
2025-03-13,TXN10597,Amazon Shopping,DR,Shopping,2774,-584578
2025-03-13,TXN10845,Restaurant Dinner,DR,Food,2814,-710982
2025-03-14,TXN10295,Supermarket POS,DR,Groceries,4308,-210392
2025-03-16,TXN10339,Netflix Subscription,DR,Entertainment,2633,-191505
2025-03-16,TXN10532,Electricity Bill UPI,DR,Utilities,1415,-554826
2025-03-17,TXN10445,Dominos Pizza,DR,Food,205,-373270
2025-03-18,TXN10437,Local Grocery Store,DR,Groceries,2793,-359152
2025-03-19,TXN10884,Salary Credit,CR,Income,49855,-630902
2025-03-19,TXN10317,Local Grocery Store,DR,Groceries,211,-266432
2025-03-19,TXN10265,Movie Tickets,DR,Entertainment,4492,-132391
2025-03-19,TXN10512,Myntra Clothing,DR,Shopping,105,-506367
2025-03-20,TXN10313,Myntra Clothing,DR,Shopping,4861,-254750
2025-03-21,TXN10721,Book Purchase,DR,Education,101,-695979
2025-03-22,TXN10237,Electricity Bill UPI,DR,Utilities,2378,-98388
2025-03-23,TXN10329,Electricity Bill UPI,DR,Utilities,3768,-191475
2025-03-23,TXN10037,Myntra Clothing,DR,Shopping,4282,17222
2025-03-23,TXN10702,Supermarket POS,DR,Groceries,4065,-693471
2025-03-23,TXN10940,Reliance Smart,DR,Groceries,4045,-724660
2025-03-24,TXN10271,IRCTC Train Ticket,DR,Travel,4515,-146504
2025-03-24,TXN10076,Bus Ticket Booking,DR,Travel,2941,56032
2025-03-25,TXN10101,Cafe Coffee Day,DR,Food,836,30453
2025-03-25,TXN10846,ATM Withdrawal,DR,Cash,2220,-713202
2025-03-26,TXN10526,Movie Tickets,DR,Entertainment,3136,-540005
2025-03-26,TXN10161,Reliance Smart,DR,Groceries,2482,66861
2025-03-26,TXN10365,Uber Ride,DR,Transport,4513,-208372
2025-03-27,TXN10830,Movie Tickets,DR,Entertainment,4459,-727931
2025-03-28,TXN10432,Reliance Smart,DR,Groceries,1869,-345902
2025-03-28,TXN10911,Metro Card Recharge,DR,Transport,2782,-700722
2025-03-29,TXN10687,Petrol Pump POS,DR,Transport,1001,-710104
2025-03-30,TXN10083,Online Course Payment,DR,Education,3498,37633
2025-03-31,TXN10977,Reliance Smart,DR,Groceries,2837,-784004
2025-03-31,TXN10750,Online Course Payment,DR,Education,4215,-699540
2025-03-31,TXN10070,Online Course Payment,DR,Education,104,69982
2025-03-31,TXN10247,Dominos Pizza,DR,Food,4299,-112829
2025-03-31,TXN10169,ATM Withdrawal,DR,Cash,2188,52745
2025-04-01,TXN10290,Flipkart Order,DR,Shopping,1708,-194192
2025-04-01,TXN10647,Salary Credit,CR,Income,6124,-636874
2025-04-01,TXN10703,Flipkart Order,DR,Shopping,3952,-697423
2025-04-01,TXN10224,Electricity Bill UPI,DR,Utilities,2293,-92467
2025-04-01,TXN10222,Spotify Subscription,DR,Entertainment,987,-88812
2025-04-02,TXN10298,Swiggy Order,DR,Food,873,-219797
2025-04-02,TXN10791,ATM Withdrawal,DR,Cash,915,-650957
2025-04-03,TXN10914,Book Purchase,DR,Education,941,-704502
2025-04-04,TXN10708,Cafe Coffee Day,DR,Food,2822,-711428
2025-04-04,TXN10012,ATM Withdrawal,DR,Cash,2293,15105
2025-04-05,TXN10678,Online Course Payment,DR,Education,2365,-690250
2025-04-05,TXN10121,Restaurant Dinner,DR,Food,3772,11433
2025-04-06,TXN10052,Bus Ticket Booking,DR,Travel,1384,26928
2025-04-06,TXN10795,Dominos Pizza,DR,Food,3567,-662033
2025-04-08,TXN10204,ATM Withdrawal,DR,Cash,1168,-38753
2025-04-08,TXN10643,Bus Ticket Booking,DR,Travel,1092,-631573
2025-04-09,TXN10408,Spotify Subscription,DR,Entertainment,3778,-289786
2025-04-09,TXN10975,Water Bill UPI,DR,Utilities,4924,-777877
2025-04-09,TXN10461,Refund Received,CR,Income,24296,-381218
2025-04-10,TXN10866,Supermarket POS,DR,Groceries,1106,-673971
2025-04-10,TXN10533,IRCTC Train Ticket,DR,Travel,2988,-557814
2025-04-11,TXN10844,Local Grocery Store,DR,Groceries,2410,-708168
2025-04-12,TXN10679,Reliance Smart,DR,Groceries,3935,-694185
2025-04-12,TXN10873,Metro Card Recharge,DR,Transport,1412,-659179
2025-04-12,TXN10288,Netflix Subscription,DR,Entertainment,867,-191670
2025-04-13,TXN10976,Ola Ride,DR,Transport,3290,-781167
2025-04-13,TXN10751,Reliance Smart,DR,Groceries,3489,-703029
2025-04-13,TXN10897,Supermarket POS,DR,Groceries,4158,-664439
2025-04-14,TXN10594,Online Course Payment,DR,Education,2998,-579646
2025-04-15,TXN10345,Water Bill UPI,DR,Utilities,829,-206096
2025-04-15,TXN10302,Online Course Payment,DR,Education,3052,-227739
2025-04-15,TXN10852,Online Course Payment,DR,Education,1494,-676175
2025-04-16,TXN10670,Water Bill UPI,DR,Utilities,2696,-670848
2025-04-16,TXN10876,Netflix Subscription,DR,Entertainment,2009,-666070
2025-04-17,TXN10634,Flipkart Order,DR,Shopping,4716,-609121
2025-04-17,TXN10234,Amazon Shopping,DR,Shopping,3058,-90028
2025-04-18,TXN10429,ATM Withdrawal,DR,Cash,2342,-340987
2025-04-18,TXN10688,Electricity Bill UPI,DR,Utilities,2542,-712646
2025-04-18,TXN10632,Online Course Payment,DR,Education,4770,-602319
2025-04-18,TXN10217,Flipkart Order,DR,Shopping,1049,-76270
2025-04-18,TXN10730,Ola Ride,DR,Transport,1144,-718695
2025-04-18,TXN10575,Flipkart Order,DR,Shopping,2768,-530557
2025-04-19,TXN10260,Water Bill UPI,DR,Utilities,3074,-135355
2025-04-19,TXN10116,Metro Card Recharge,DR,Transport,1215,31960
2025-04-19,TXN10135,Bus Ticket Booking,DR,Travel,1454,17316
2025-04-19,TXN10763,Book Purchase,DR,Education,2130,-735328
2025-04-20,TXN10233,Petrol Pump POS,DR,Transport,2978,-86970
2025-04-21,TXN10821,Flipkart Order,DR,Shopping,2550,-723377
2025-04-22,TXN10092,ATM Withdrawal,DR,Cash,55,31348
2025-04-22,TXN10877,ATM Withdrawal,DR,Cash,2096,-668166
2025-04-22,TXN10140,Dominos Pizza,DR,Food,1581,51522
2025-04-22,TXN10500,Flipkart Order,DR,Shopping,1447,-483511
2025-04-22,TXN10843,Bank Transfer Credit,CR,Income,48690,-705758
2025-04-23,TXN10799,Local Grocery Store,DR,Groceries,3718,-672322
2025-04-24,TXN10360,ATM Withdrawal,DR,Cash,1167,-197701
2025-04-28,TXN10935,Electricity Bill UPI,DR,Utilities,941,-707788
2025-04-28,TXN10296,Reliance Smart,DR,Groceries,3960,-214352
2025-04-29,TXN10566,Spotify Subscription,DR,Entertainment,411,-545541
2025-04-30,TXN10054,Online Course Payment,DR,Education,4749,19081
2025-05-01,TXN10336,Online Course Payment,DR,Education,185,-182235
2025-05-01,TXN10742,Bank Transfer Credit,CR,Income,53206,-680497
2025-05-01,TXN10008,Local Grocery Store,DR,Groceries,1555,23986
2025-05-02,TXN10129,Bus Ticket Booking,DR,Travel,3210,-16384
2025-05-02,TXN10700,Salary Credit,CR,Income,52884,-687999
2025-05-03,TXN10552,Online Course Payment,DR,Education,1070,-577189
2025-05-03,TXN10613,Reliance Smart,DR,Groceries,2523,-557406
2025-05-04,TXN10370,Flipkart Order,DR,Shopping,1713,-222958
2025-05-04,TXN10582,Petrol Pump POS,DR,Transport,763,-550849
2025-05-04,TXN10823,Electricity Bill UPI,DR,Utilities,2611,-728193
2025-05-05,TXN10483,Bus Ticket Booking,DR,Travel,307,-443305
2025-05-06,TXN10609,Refund Received,CR,Income,11563,-546038
2025-05-06,TXN10322,Electricity Bill UPI,DR,Utilities,1468,-280214
2025-05-07,TXN10497,Local Grocery Store,DR,Groceries,1821,-477602
2025-05-07,TXN10243,ATM Withdrawal,DR,Cash,3886,-102275
2025-05-08,TXN10079,Flipkart Order,DR,Shopping,1429,48639
2025-05-08,TXN10107,Reliance Smart,DR,Groceries,3221,11854
2025-05-09,TXN10459,Movie Tickets,DR,Entertainment,116,-403455
2025-05-09,TXN10665,Electricity Bill UPI,DR,Utilities,415,-683987
2025-05-10,TXN10071,ATM Withdrawal,DR,Cash,4594,65388
2025-05-10,TXN10874,Supermarket POS,DR,Groceries,2102,-661281
2025-05-10,TXN10475,Myntra Clothing,DR,Shopping,951,-420372
2025-05-10,TXN10105,Supermarket POS,DR,Groceries,2756,17713
2025-05-11,TXN10889,Metro Card Recharge,DR,Transport,929,-646126
2025-05-12,TXN10460,Flipkart Order,DR,Shopping,2059,-405514
2025-05-12,TXN10060,Zomato Order,DR,Food,100,49250
2025-05-12,TXN10136,Bank Transfer Credit,CR,Income,42105,59421
2025-05-13,TXN10859,Local Grocery Store,DR,Groceries,2804,-656438
2025-05-13,TXN10374,Supermarket POS,DR,Groceries,1818,-234195
2025-05-14,TXN10820,Zomato Order,DR,Food,559,-720827
2025-05-15,TXN10528,Mobile Recharge,DR,Utilities,632,-545138
2025-05-15,TXN10788,ATM Withdrawal,DR,Cash,346,-698526
2025-05-16,TXN10286,Cafe Coffee Day,DR,Food,3766,-186621
2025-05-16,TXN10777,Myntra Clothing,DR,Shopping,3560,-675067
2025-05-17,TXN10177,Reliance Smart,DR,Groceries,3053,30850
2025-05-17,TXN10261,Bus Ticket Booking,DR,Travel,1471,-136826
2025-05-17,TXN10589,Metro Card Recharge,DR,Transport,440,-564976
2025-05-17,TXN10228,Bus Ticket Booking,DR,Travel,1816,-71827
2025-05-17,TXN10701,Netflix Subscription,DR,Entertainment,1407,-689406
2025-05-18,TXN10306,ATM Withdrawal,DR,Cash,4715,-236524
2025-05-18,TXN10463,Supermarket POS,DR,Groceries,1707,-387770
2025-05-19,TXN10436,ATM Withdrawal,DR,Cash,1077,-356359
2025-05-19,TXN10640,ATM Withdrawal,DR,Cash,4837,-625967
2025-05-20,TXN10407,Myntra Clothing,DR,Shopping,261,-286008
2025-05-21,TXN10674,Mobile Recharge,DR,Utilities,4519,-679327
2025-05-21,TXN10540,Water Bill UPI,DR,Utilities,4684,-579032
2025-05-21,TXN10267,Bus Ticket Booking,DR,Travel,1139,-134603
2025-05-22,TXN10815,ATM Withdrawal,DR,Cash,1320,-710967
2025-05-22,TXN10199,ATM Withdrawal,DR,Cash,3917,-25423
2025-05-23,TXN10686,Myntra Clothing,DR,Shopping,580,-709103
2025-05-24,TXN10311,Metro Card Recharge,DR,Transport,56,-248028
2025-05-25,TXN10166,ATM Withdrawal,DR,Cash,3575,56365
2025-05-25,TXN10917,Amazon Shopping,DR,Shopping,736,-710345
2025-05-25,TXN10536,Spotify Subscription,DR,Entertainment,1324,-563152
2025-05-26,TXN10508,Book Purchase,DR,Education,2124,-499844
2025-05-27,TXN10904,Reliance Smart,DR,Groceries,3855,-684301
2025-05-27,TXN10551,Bank Transfer Credit,CR,Income,22946,-576119
2025-05-28,TXN10284,Water Bill UPI,DR,Utilities,1598,-181684
2025-05-28,TXN10359,Flipkart Order,DR,Shopping,3321,-196534
2025-05-28,TXN10067,Restaurant Dinner,DR,Food,4640,74250
2025-05-28,TXN10864,Flipkart Order,DR,Shopping,3001,-670225
2025-05-29,TXN10158,Supermarket POS,DR,Groceries,3642,72263
2025-05-30,TXN10036,Supermarket POS,DR,Groceries,4523,21504
2025-06-01,TXN10803,Swiggy Order,DR,Food,4888,-687240
2025-06-01,TXN10517,IRCTC Train Ticket,DR,Travel,893,-516938
2025-06-01,TXN10505,Zomato Order,DR,Food,1575,-490228
2025-06-01,TXN10246,IRCTC Train Ticket,DR,Travel,76,-108530
2025-06-01,TXN10662,Uber Ride,DR,Transport,4323,-678171
2025-06-01,TXN10936,Amazon Shopping,DR,Shopping,4484,-712272
2025-06-02,TXN10192,Swiggy Order,DR,Food,2360,-2650
2025-06-02,TXN10165,Cafe Coffee Day,DR,Food,2479,59940
2025-06-02,TXN10870,Bank Transfer Credit,CR,Income,27742,-654411
2025-06-02,TXN10032,ATM Withdrawal,DR,Cash,1275,35435
2025-06-03,TXN10330,Netflix Subscription,DR,Entertainment,2371,-193846
2025-06-04,TXN10282,Book Purchase,DR,Education,2420,-177311
2025-06-06,TXN10739,Water Bill UPI,DR,Utilities,2490,-724755
2025-06-06,TXN10664,Online Course Payment,DR,Education,1819,-683572
2025-06-08,TXN10689,Local Grocery Store,DR,Groceries,3776,-716422
2025-06-08,TXN10029,Netflix Subscription,DR,Entertainment,3626,-14648
2025-06-10,TXN10726,Local Grocery Store,DR,Groceries,3805,-710168
2025-06-10,TXN10691,Reliance Smart,DR,Groceries,1715,-720546
2025-06-10,TXN10047,Local Grocery Store,DR,Groceries,3086,-1668
2025-06-11,TXN10783,Book Purchase,DR,Education,934,-685766
2025-06-12,TXN10511,Petrol Pump POS,DR,Transport,2942,-506262
2025-06-12,TXN10952,Book Purchase,DR,Education,65,-753684
2025-06-13,TXN10292,IRCTC Train Ticket,DR,Travel,4354,-202171
2025-06-13,TXN10299,Ola Ride,DR,Transport,2200,-221997
2025-06-13,TXN10610,Book Purchase,DR,Education,2774,-548812
2025-06-14,TXN10057,IRCTC Train Ticket,DR,Travel,3138,12705
2025-06-14,TXN10351,Amazon Shopping,DR,Shopping,2473,-174052
2025-06-15,TXN10931,Mobile Recharge,DR,Utilities,4309,-696463
2025-06-15,TXN10179,Local Grocery Store,DR,Groceries,4189,25536
2025-06-15,TXN10088,Online Course Payment,DR,Education,2009,38847
2025-06-15,TXN10205,IRCTC Train Ticket,DR,Travel,4618,-43371
2025-06-16,TXN10184,Flipkart Order,DR,Shopping,3650,15977
2025-06-16,TXN10839,Online Course Payment,DR,Education,2966,-751733
2025-06-17,TXN10999,Local Grocery Store,DR,Groceries,2337,-772387
2025-06-18,TXN10020,Mobile Recharge,DR,Utilities,1413,6049
2025-06-19,TXN10180,Metro Card Recharge,DR,Transport,1263,24273
2025-06-19,TXN10728,Book Purchase,DR,Education,833,-713996
2025-06-19,TXN10851,Restaurant Dinner,DR,Food,4169,-674681
2025-06-20,TXN10300,Local Grocery Store,DR,Groceries,489,-222486
2025-06-22,TXN10173,Petrol Pump POS,DR,Transport,2962,40279
2025-06-23,TXN10965,Mobile Recharge,DR,Utilities,4313,-752009
2025-06-23,TXN10752,Ola Ride,DR,Transport,3402,-706431
2025-06-23,TXN10942,Flipkart Order,DR,Shopping,936,-730406
2025-06-23,TXN10666,Online Course Payment,DR,Education,4541,-688528
2025-06-24,TXN10886,Spotify Subscription,DR,Entertainment,4512,-639525
2025-06-25,TXN10660,Bus Ticket Booking,DR,Travel,1041,-672964
2025-06-25,TXN10352,Ola Ride,DR,Transport,3838,-177890
2025-06-28,TXN10753,IRCTC Train Ticket,DR,Travel,814,-707245
2025-06-29,TXN10930,Spotify Subscription,DR,Entertainment,2483,-692154
2025-06-29,TXN10654,Petrol Pump POS,DR,Transport,3584,-660782
2025-06-29,TXN10040,Metro Card Recharge,DR,Transport,4227,8825
2025-06-29,TXN10082,Bus Ticket Booking,DR,Travel,2382,41131
2025-06-30,TXN10916,Local Grocery Store,DR,Groceries,4977,-709609
2025-06-30,TXN10627,IRCTC Train Ticket,DR,Travel,504,-589087
2025-06-30,TXN10075,Supermarket POS,DR,Groceries,1654,58973
2025-07-01,TXN10805,Petrol Pump POS,DR,Transport,2257,-690372
2025-07-02,TXN10797,Amazon Shopping,DR,Shopping,1664,-665092
2025-07-03,TXN10212,Metro Card Recharge,DR,Transport,3872,-66471
2025-07-03,TXN10264,Netflix Subscription,DR,Entertainment,1485,-127899
2025-07-03,TXN10825,IRCTC Train Ticket,DR,Travel,2479,-712545
2025-07-04,TXN10063,Petrol Pump POS,DR,Transport,4987,86754
2025-07-04,TXN10215,Myntra Clothing,DR,Shopping,73,-72751
2025-07-05,TXN10155,Electricity Bill UPI,DR,Utilities,4070,82537
2025-07-05,TXN10731,Supermarket POS,DR,Groceries,1541,-720236
2025-07-05,TXN10110,Spotify Subscription,DR,Entertainment,313,42541
2025-07-06,TXN10248,Online Course Payment,DR,Education,3343,-116172
2025-07-06,TXN10469,Reliance Smart,DR,Groceries,1280,-406863
2025-07-06,TXN10675,Myntra Clothing,DR,Shopping,118,-679445
2025-07-08,TXN10356,Flipkart Order,DR,Shopping,3639,-189966
2025-07-08,TXN10808,Online Course Payment,DR,Education,2402,-697468
2025-07-08,TXN10227,Reliance Smart,DR,Groceries,4727,-70011
2025-07-09,TXN10612,ATM Withdrawal,DR,Cash,1927,-554883
2025-07-10,TXN10547,ATM Withdrawal,DR,Cash,1264,-591119
2025-07-11,TXN10534,Netflix Subscription,DR,Entertainment,1202,-559016
2025-07-11,TXN10287,IRCTC Train Ticket,DR,Travel,4182,-190803
2025-07-12,TXN10796,Restaurant Dinner,DR,Food,1395,-663428
2025-07-12,TXN10832,ATM Withdrawal,DR,Cash,1547,-733418
2025-07-12,TXN10695,ATM Withdrawal,DR,Cash,3972,-732066
2025-07-13,TXN10411,Amazon Shopping,DR,Shopping,1137,-297865
2025-07-13,TXN10745,IRCTC Train Ticket,DR,Travel,1059,-685797
2025-07-15,TXN10653,Movie Tickets,DR,Entertainment,3322,-657198
2025-07-15,TXN10421,ATM Withdrawal,DR,Cash,3772,-317420
2025-07-15,TXN10787,Dominos Pizza,DR,Food,4222,-698180
2025-07-15,TXN10490,Book Purchase,DR,Education,937,-460285
2025-07-15,TXN10896,Book Purchase,DR,Education,2201,-660281
2025-07-15,TXN10293,Water Bill UPI,DR,Utilities,2654,-204825
2025-07-16,TXN10525,Supermarket POS,DR,Groceries,834,-536869
2025-07-16,TXN10447,ATM Withdrawal,DR,Cash,4357,-382568
2025-07-16,TXN10383,Dominos Pizza,DR,Food,2041,-228497
